NOC,Weight,Medal,Gold,Silver,Bronze,NoMedal
TUN,0.0,13.938260796557923,13.930085388513357,0.0030956674404267544,0.005079740604140314,31.111273085285696
ETH,0.0,31.554852659291356,13.87741805932495,6.69366696109506,10.983767638871347,1.5348868195309011
HKG,0.0,15.644582347323304,12.964792153001493,0.6783552770220238,2.001434917299785,27.31869904806517
MAS,0.0,13.147549341791041,12.584521491780025,0.0025104555680992954,0.5605173944429164,22.581100426018793
EST,0.0,11.677978770165275,11.448599464276777,0.002522254396556414,0.22685705149194185,22.32867928688553
ARM,0.0,18.912419232448173,11.176181694005216,2.1797128269457646,5.556524711497191,11.689008988568816
GEO,0.0,17.23288554991357,10.866153205109123,2.4108015054760132,3.95593083932843,16.876473151952023
ECU,0.0,10.771720798477997,10.351225345683217,0.002214223471929639,0.41828122932285106,21.332176692835883
CHI,0.0,10.567136331865594,9.869295648158552,0.0021995300095464286,0.6956411536974966,22.324867618197004
SGP,0.0,9.817632374109337,9.561678230254136,0.0019774642533747296,0.2539766796018249,19.30141135182472
MGL,0.0,11.494152331397538,9.480456305076027,0.6871055770357972,1.3265904492857137,15.415094770351352
TTO,0.0,10.275256056938206,8.88782761677812,0.00174873974734305,1.3856797004127424,16.401080768557275
PUR,0.0,8.869241775978482,8.654193670701888,0.002924804078298368,0.21212330119829514,26.728278115769914
ALG,0.0,13.744056456286417,8.098327973228923,2.016431046971032,3.6292974360864623,24.40178616248008
BAH,0.0,7.952150577874828,7.468261516992249,0.0014485064154601578,0.4824405544671183,13.081275761607964
VIE,0.0,9.154804531760869,7.022891793782275,1.3869375745881847,0.744975163390409,12.33574335339055
TJK,0.0,7.361093259709355,6.750204396462531,0.0005606636810864829,0.6103281995657376,5.517575433620604
KSA,0.0,6.584493983801411,6.58152165769761,0.0011254891611170693,0.001846836942684661,10.562632899784813
MDA,0.0,6.428380743602426,6.422945796952081,0.0020579752465211126,0.003376971403823607,18.821598393499364
GUA,0.0,6.570719660177293,6.266087363975097,0.0016069861778446046,0.3030253100243511,15.955979970269656
ISL,0.0,5.689721184775871,5.6862464504298975,0.0013157290645705855,0.002159005281402382,12.955514612449877
DOM,0.0,5.449664181234546,5.445450821359909,0.001595414064669472,0.0026179458099675067,15.868373242938585
PER,0.0,6.678539834553194,5.444848971473372,1.231770041284837,0.0019208217949852368,10.9252573505733
UGA,0.0,5.3807655269825965,5.37796916842971,0.0010588579893184632,0.0017375005635676042,10.289687237327247
BRN,0.0,5.224211209430905,5.221658133064613,0.0009667377257459935,0.0015863386405450609,8.960681794431135
NGR,0.0,12.139864383231464,5.082392466802328,0.003245011797227724,7.054226904631908,30.506150702906837
QAT,0.0,4.840286539797172,4.56613473244479,0.10380923118802698,0.17034257616435547,11.614901938344062
INA,0.0,5.905289884865209,4.364810490839386,0.001979851250590109,1.5384995427752324,18.76157518492564
KGZ,0.0,4.344026311292048,4.3380759003561185,0.002253158899359913,0.0036972520365691577,20.58832237526222
ERI,0.0,4.392042832403616,4.14559860279228,0.0006743270344709998,0.24576990257686554,6.348905681857628
CYP,0.0,3.614129296946065,3.61141912901136,0.0010262213932098554,0.0016839465414950753,9.453714312436613
SEN,0.0,3.6138801217053866,3.61068476304326,0.0012099417811205055,0.0019854168810059256,12.381819997005538
LUX,0.0,3.5697421578763775,3.5672645783163133,0.0009381504058692972,0.0015394291541949434,8.277420210324463
URU,0.0,3.8588020637094527,3.3749993219747805,0.18319481878002455,0.3006079229546477,8.980692295289671
CRC,0.0,3.338264209952,3.336318094934846,0.0007369081593341863,0.0012092068578193696,7.264777010977517
