NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
MDV,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,3.1354826928598563
MHL,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,2.628741308601344
MLT,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,3.082555703155948
MON,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,3.2291954056885794
SUD,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,2.625075853300082
VAN,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,3.38027005098756
YEM,0.0,0.005280445002412468,0.002016742848321215,0.0007877901751254744,0.0024759119789657777,2.7678654859072007
GRN,0.0,0.7524197509517906,0.0015125571362409117,0.0005908426313441059,0.7503163511842056,2.391835514798888
BEN,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.6688118937044454
BIH,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.927901093770942
BRU,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.015737784432074
CAM,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.015737784432074
CGO,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.391835514798888
COM,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.8413508098934543
GEQ,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.123339659307489
HON,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.318763700988377
IRQ,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,7.211505914207748
ISV,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.81412760692305
KIR,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.0011765288299492
LAO,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.3410695343073824
LES,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.0852937803039824
PLW,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.015737784432074
SEY,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.015737784432074
SKN,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.123339659307489
SLE,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.3389085250949795
SMR,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.7883488721723437
STP,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.113594666250685
SUR,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.471676522627943
SWZ,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.015737784432074
TLS,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.292382122677314
VIN,0.0,0.003960333751809351,0.0015125571362409117,0.0005908426313441059,0.0018569339842243336,2.391835514798888
