NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
VEN,0.0,5.622689568802812,0.3706092461931576,0.0010439001358284684,5.251036422473826,25.782171861210955
MGL,0.0,4.514182033301575,0.35537155042807367,0.3878901289016065,3.7709203539718943,11.650834305640245
SUI,0.0,6.211800977157326,0.3287781335853805,1.4841586954464732,4.398864148125472,58.22903950709284
BUL,0.0,5.509740175501755,0.30809377847185937,0.0020328581592449126,5.199613538870651,25.05542213100779
PAN,0.0,1.4304702141761811,0.24467281320759235,0.00010988422482404933,1.1856875167437648,1.7645394016217808
SUD,0.0,1.4303139066017514,0.24466809975268544,5.4942112412024666e-05,1.185590864736654,1.0121430335523667
MAS,0.0,5.358093615792763,0.24175361537697931,0.37450441916205074,4.741835581253733,9.777412799682194
QAT,0.0,1.7237155669373303,0.000631109123890358,1.2934257402794302,0.42965871753400964,5.3534067633160625
KUW,0.0,1.942104718601553,0.000631109123890358,0.000329652674472148,1.9411439568031905,3.1727550738230077
NGR,0.0,1.1574919325529422,0.000259240019880948,0.21661927124059147,0.9406134212924697,30.050841333619175
RSA,0.0,4.418832881802389,0.00021210547081168473,0.8121231624509425,3.606497613880635,38.636866946729114
AUT,0.0,3.3191045680925786,0.0001885381962770531,0.0021976844964809866,3.3167183453998206,35.81931219005916
FIN,0.0,3.202516148358897,0.00012254982758008452,0.8171776172208141,2.3852159813105027,28.400303854889824
ALG,0.0,2.503745122296334,0.00011312291776623185,0.42651310880138926,2.0771188905771782,14.630604012066584
GRE,0.0,6.962643243244893,0.00011312291776623185,0.3017069860078428,6.660823134319283,28.275303635476693
ISR,0.0,0.8653465174663283,9.898255304545287e-05,0.0011537843606525178,0.8640937505526303,22.683481588773358
BOT,0.0,0.002657228765304181,8.012873341774758e-05,0.0009340159110044195,0.0016430841208820138,6.624604667990079
BAH,0.0,0.0026572287653041805,8.012873341774757e-05,0.0009340159110044193,0.0016430841208820136,13.563527925192858
TTO,0.0,0.7508129584717538,6.598836869696858e-05,0.0007691895737683453,0.7499777805292884,14.87014243614585
SGP,0.0,2.946451618828146,6.127491379004226e-05,0.0007142474613563208,2.945676096453,12.78574225910384
CHI,0.0,1.595516461382498,6.127491379004226e-05,0.0007142474613563208,1.5947409390073515,15.949710063022039
MAR,0.0,2.1506467813838883,5.184800397618959e-05,0.0006043632365322713,2.14999057014338,19.72136870795328
HKG,0.0,2.442311741486407,4.870570070490537e-05,0.39750472569443823,2.044758310091264,17.954351100519627
ECU,0.0,6.407023229834389,4.7134549069263275e-05,0.0005494211241202467,6.4064266741611995,9.282099607566302
INA,0.0,0.7242265843727687,4.7134549069263275e-05,0.0005494211241202467,0.7236300286995792,9.596406897121332
CIV,0.0,0.3248369224961047,4.242109416233695e-05,0.000494479011708222,0.32430002239023414,6.212447509687769
GHA,0.0,0.0014067681698669192,4.242109416233695e-05,0.000494479011708222,0.0008698680639963603,4.743502609057448
ALB,0.0,1.0791427984495656,3.770763925541062e-05,0.0004395368992961973,1.078665553911014,4.8955600289466865
ZAM,0.0,1.070638452590019,3.770763925541062e-05,0.0004395368992961973,1.0701612080514673,3.724355563565173
KSA,0.0,0.0012504605954372612,3.770763925541062e-05,0.0004395368992961973,0.0007732160568856534,9.71460636217489
