NOC,Gold,Silver,Bronze,NoMedal,Medal,,,,,,,,,,,
KSA,0,0,0,7.213685171,0,,,,,,,,,,,
LBR,0,0,0,1.238161789,0,,,,,,,,,,,
LCA,0,0,0,1.544850874,0,,,,,,,,,,,
LES,0,0,0,1.561591943,0,,,,,,,,,,,
LIE,0,0,0,1.453990068,0,,,,,,,,,,,
LUX,0,0,0,3.5671516,0,,,,,,,,,,,
MHL,0,0,0,1.453990068,0,,,,,,,,,,,
MNE,0,0,0,3.350682725,0,,,,,,,,,,,
NRU,0,0,0,0.628999656,0,,,,,,,,,,,
PAK,0,0,0,1.896046895,0,,,,,,,,,,,
PLE,0,0,0,1.840835045,0,,,,,,,,,,,
RWA,0,0,0,2.662359729,0,,,,,,,,,,,
SCG,0,0,0,0.20670538,0,,,,,,,,,,,
SKN,0,0,0,1.724128117,0,,,,,,,,,,,
SLE,0,0,0,0.862064058,0,,,,,,,,,,,
SOL,0,0,0,1.439428813,0,,,,,,,,,,,
SOM,0,0,0,0.862064058,0,,,,,,,,,,,
STP,0,0,0,0.862064058,0,,,,,,,,,,,
SUR,0,0,0,1.821347862,0,,,,,,,,,,,
SWZ,0,0,0,1.176754276,0,,,,,,,,,,,
TLS,0,0,0,0.862064058,0,,,,,,,,,,,
TUV,0,0,0,1.107518135,0,,,,,,,,,,,
VIN,0,0,0,1.130559914,0,,,,,,,,,,,
YEM,0,0,0,1.467945047,0,,,,,,,,,,,
INA,-1.09053,1.09053,0.788086236,6.470255409,0.788086236,,,,,,,,,,,
